 n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
 0,             0,               0,              3,         0,           0,          7,             0,               0,              3,        0,          0,         7
 1,             0,               0,              2,         0,           0,          2,             0,               0,              2,        0,          0,         8
 2,             1,               0,             13,         5,           2,         48,             1,               0,              7,        1,          2,        14
 3,             2,               0,              7,         6,           2,         18,             3,               0,              8,        3,          4,        18
 4,             4,               1,             12,        10,           4,         23,             6,               1,             10,        6,          7,        22
 5,             8,               5,             27,        17,           6,         33,            10,               3,             17,       10,          9,        44
 6,            13,               9,             23,        24,           9,         28,            15,               5,             16,       16,         13,        25
 7,            15,              10,             21,        27,          10,         29,            21,               6,             18,       21,         16,        29
 8,            17,              11,             24,        31,          10,         32,            28,               7,             22,       27,         21,        37
 9,            20,              13,             28,        42,          13,         43,            36,               7,             40,       34,         25,        72
10,            21,              13,             31,        52,          16,         53,            45,               7,             34,       40,         29,        50
